ProbeID	Name	GSM3722267	GSM3722268	GSM3722269	GSM3722270	GSM3722271	GSM3722272	GSM3722273	GSM3722274	GSM3722275	GSM3722276	GSM3722277	GSM3722278
FZD9	FZD9:FZD9	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363
GADD45B	GADD45B:GADD45B	9.397375154416101	8.899870461161417	8.876302061088317	10.206562644433454	10.14439058023115	10.923268052885419	10.625571871843492	10.394891366442588	10.273492578128035	10.032238624546084	9.964701857420447	10.800924160283154
GATA1	GATA1:GATA1	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363
GATA2	GATA2:GATA2	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363
GATA3	GATA3:GATA3	9.271836492840679	9.464076006692249	9.918952657749664	9.14692500986229	9.316666199137085	9.548995252588725	10.154729519794632	9.278124176294048	10.182828834672952	8.556199473351986	8.9047851297316	9.555681969595247
GATA6	GATA6:GATA6	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.683134985126093	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363
GCH1	GCH1:GCH1	8.644541307216635	8.724786677447709	9.047505671251576	9.75507116692406	9.321702656174367	9.540399305630626	9.180232416463006	8.805131201166967	9.324720612150712	10.953207027098001	10.861893348754188	11.516226956351925
GEM	GEM:GEM	5.625854931368057	6.162894799374783	5.158256228811341	6.58029625988894	6.176721692881049	6.5923075274445475	6.401903471607959	6.087250664613309	7.252097703037444	7.5561994733519855	5.466953337123929	6.999323578150824
GLG1	GLG1:GLG1	10.594567210116768	10.8895267786508	10.695149976611624	10.454772230860945	10.209563025780163	10.45424787805508	10.5829134713202	10.524962806914486	10.46577044908396	10.118577758445106	10.5040840486922	10.19518762906602
GNAI3	GNAI3:GNAI3	8.638363505897864	9.03738222200308	8.927333531712481	8.949534933017013	9.09386647972183	8.912380412126138	8.98073938552653	8.604219619402238	9.142158125249702	9.293149736741865	9.481335273287458	9.513747331727718
GPR183	GPR183:GPR183	9.19007157455409	8.792952933954119	8.698426864807153	10.186956081970154	9.752330464983093	10.13720890927797	10.229948359215404	9.388168006804394	10.245208034475406	8.355439197248685	9.080710953401226	9.45141719640391
GPR65	GPR65:GPR65	8.360452071768867	8.577919714029298	7.241458871274651	8.61805507624482	8.476219650723028	8.452941307971212	8.477474960500285	8.737179728318962	8.142158125249702	8.799637798549009	9.035403969942067	7.845552775452153
GRN	GRN:GRN	9.73668942688762	9.443005679639644	9.181972160555832	7.8120489175958	7.948717641263174	8.668601379971863	7.227375273626213	7.539779191698494	7.5229345609434555	7.735522177296538	7.691952843047669	7.529274367609148
GSN	GSN:GSN	9.001633377995075	8.68943894979436	8.218878015704146	7.090535901003173	6.812498225333565	8.407820089595125	7.63727694818761	7.096767854714688	7.789207575347345	7.159871336778389	7.257293545817499	6.8811751553492755
GTF2H2	GTF2H2:GTF2H2	8.93793283896709	9.847401922646258	9.4574014009044	8.755087862561108	9.54446220252906	9.419896992739845	8.433501985661325	9.711236767793784	9.129411823251992	9.4574014009044	10.299001904372943	9.43053618373656
GZMA	GZMA:GZMA	12.105080226735806	13.04437874965612	11.891012794409065	12.292042615753136	12.332016961600907	12.469835113216286	11.722884359037273	12.132811369505962	11.438474799019248	14.905171205177457	14.270574931056105	14.718589598127117
HAVCR1	HAVCR1:HAVCR1	6.6009535868384575	7.4984902329086065	6.268097485847248	7.987093437058146	6.868513923895463	6.4212232992251375	8.992910019989191	8.16128307454201	7.962144104603358	8.002702520379824	9.077510060824133	8.26171884978794
HAVCR2	HAVCR2:HAVCR2	8.390082950951664	8.836681593327116	8.148934104526338	10.370371374036612	10.077616871740071	10.412527507371294	10.060993085454598	9.875518993215204	9.621832102973851	11.348302142266292	11.607173088415413	11.785440207242072
HBEGF	HBEGF:HBEGF	4.321928094887363	4.321928094887363	4.321928094887363	5.121015400961366	4.321928094887363	4.9593064897596575	4.321928094887363	4.539779191698494	4.321928094887363	6.150559676575381	4.321928094887363	5.047014819517589
HDAC5	HDAC5:HDAC5	7.855491443101875	7.770564791971694	8.090430042321621	7.569323991169866	7.621905345519412	7.875780063068488	8.297741678491372	7.867216952731734	8.294574802458055	5.766330130950369	6.505255800932163	6.078310950007127
HDAC6	HDAC6:HDAC6	7.886976844920619	7.628554900114056	7.3368189425476436	6.857856619504332	7.085020923903875	7.233140296445975	7.237640195035386	7.6075522497612615	7.094869432718698	7.150559676575382	7.025471814621179	7.093496794891906
HDC	HDC:HDC	4.321928094887363	4.321928094887363	4.321928094887363	6.120808102298621	6.476219650723027	5.494095544940635	4.557655154725421	5.331275267146615	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363
HES1	HES1:HES1	4.321928094887363	4.321928094887363	4.321928094887363	6.442777659301516	6.476219650723027	6.016808287686555	4.8529975876133165	7.240218909839586	4.728464765092534	4.971313624068879	4.321928094887363	4.321928094887363
HGF	HGF:HGF	5.291677223176022	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363
HIF1A	HIF1A:HIF1A	11.067225941479522	11.625453152932108	10.551669814871472	11.765924208190762	11.65462707877911	11.715927680809349	12.053376114055522	11.50245392955618	11.235828758979109	12.26151024747817	12.757185800642679	12.294304837605297
HIP1R	HIP1R:HIP1R	7.834091759374496	7.414473836430928	7.876271360550127	7.330289483001059	7.10852445677817	7.099295204337776	7.098137385324786	6.958262697329545	7.077242998932461	6.849498931720182	6.57924050057297	6.381629467033664
HIST1H1C	HIST1H1C:HIST1H1C	13.05197189897835	11.838018117586131	12.139337106509709	13.082799371878458	12.648139588252768	12.999392291716132	12.92999251661538	12.971518407154706	11.885875555306184	12.477849317254853	11.380168816689944	11.240034016608496
HIST2H2AA3	HIST2H2AA3:HIST2H2AA3	9.863411958941638	8.713111526007483	9.668743189087904	10.292459683138578	10.611661140054222	10.38607803400871	10.255441721182292	10.676970796053913	9.707238327199194	9.87670110864523	8.80038224830338	10.042288653481535
HIVEP1	HIVEP1:HIVEP1	8.29939120612683	7.920352855415081	8.105279974561409	9.035761355073642	8.435045131278086	8.643639769286649	9.123241982411466	8.522346130127218	9.532667615055573	8.38361790096285	8.628044482616819	9.060858023147855
HLA-DMA	HLA-DMA:HLA-DMA	9.307178035558684	8.512068826251856	8.884933647949762	7.654850805846314	7.701202480190524	8.690940829504344	7.879460722538024	8.331185678234805	8.04592343960255	7.461151989975351	7.476543706214257	7.448488032901692
HLA-DQB1	HLA-DQB1:HLA-DQB1	7.071784117389959	6.814934885833408	7.93840342367024	6.9453267772646265	5.909053016759139	8.753818443173543	6.60584986719498	6.298841573112032	7.328405658958568	5.741736623826638	6.1154078554140625	7.324540612769207
HMGB1	HMGB1:HMGB1	8.99200360876607	9.464076006692249	9.653669134715846	9.135811874104222	9.296388574858963	9.261789356424256	9.052296331236368	8.994155406301818	9.054956978860139	8.187550028063717	8.510012465448515	8.64519006586492
HNF1B	HNF1B:HNF1B	6.496014873437763	6.355615382757959	4.434294617959925	5.343407822297814	4.321928094887363	4.321928094887363	5.0522419811811385	5.12474169241965	4.321928094887363	5.375734538583156	4.64961545906341	4.321928094887363
HOXD4	HOXD4:HOXD4	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363
HPGD	HPGD:HPGD	5.090006529903818	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363
HPGDS	HPGDS:HPGDS	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.839455765224629	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363
HRAS	HRAS:HRAS	6.722192760895903	6.471024839066756	6.921721947009604	7.330289483001059	6.895787316463311	7.355615382757959	6.326968711587893	7.0192571186810815	6.8159596182148645	7.033533126726687	6.780966197577076	7.196036493951546
HSPG2	HSPG2:HSPG2	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363
ICAM1	ICAM1:ICAM1	7.575387973368849	7.162894799374784	7.17731986649513	8.424628213272273	8.29893319315721	9.57924050057297	8.82600816991912	8.082521645089269	8.829183605446884	9.399448837158948	9.66884953677817	9.691063006745274
ICOS	ICOS:ICOS	6.81236986597222	7.577957467572966	6.730639955916791	7.343230139553469	7.701202480190524	7.350055177204502	6.866289830380641	7.574025797924806	6.93793283896709	7.343230139553469	9.00216804822652	6.907371413823564
ICOSLG	ICOSLG:ICOSLG	6.352970338245934	6.0925457415435655	6.139346700289664	6.875780063068489	6.662063046428037	7.125775067609516	6.326968711587893	6.553514104085102	7.041440130072973	5.40735275114004	5.505255800932163	5.454504937557371
ID1	ID1:ID1	5.575312330687437	4.321928094887363	4.955126781261367	5.857732233157667	6.739308070860385	5.914325330085303	4.9560566524124035	8.231653204383681	4.53605290024021	4.638653116466112	4.321928094887363	4.321928094887363
ID2	ID2:ID2	9.972592144280197	10.443005679639644	10.041084149098573	10.407809469947637	10.447754811831562	11.30587364819968	10.894938993091712	10.533699606693423	10.33862497324988	11.059303897132125	11.385333962640527	11.00140115683886
ID3	ID3:ID3	5.938050499534043	6.162894799374783	4.321928094887363	4.857980995127573	4.321928094887363	4.321928094887363	5.004950759951045	4.883620816285672	4.321928094887363	4.690975738343275	5.344828496997441	4.321928094887363
IDO1	IDO1:IDO1	7.5881899237958335	7.577957467572966	6.611024797307352	7.558267634055736	9.576352070067816	10.440474707850937	7.622051819456376	8.546701573325295	9.11870752404787	11.528512716008057	11.191028361014384	10.648411513526499
IDO2	IDO2:IDO2	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363	4.321928094887363
IER3	IER3:IER3	8.48224326955293	8.910133013097202	7.285587167909472	7.9705085807791285	7.819604323414517	7.770696925052418	7.50747752951693	8.170275613879548	7.244221104725728	7.826294245499634	8.127684862579478	7.76679390286712
