ProbeID	Ptr	Name	Description
ENSG00000280411	30590	IGHV1-69D	ENST00000624687.1
ENSG00000211974	30659	IGHV2-70D	ENST00000390634.3
ENSG00000211951	30745	IGHV2-26	ENST00000390611.2
ENSG00000270550	30813	IGHV3-30	ENST00000603660.1
ENSG00000211959	30881	IGHV4-39	ENST00000390619.2
ENSG00000211958	30949	IGHV3-38	ENST00000390618.2
ENSG00000275148	31017	IGHV1-69-2	ENST00000615784.2
ENSG00000233999	31087	IGKV3OR2-268	ENST00000421835.2
ENSG00000282281	31174	IGHV3-21	ENST00000632980.1
ENSG00000211672	31242	IGLV4-3	ENST00000390318.2
ENSG00000274854	31309	IGLV1-44	ENST00000628287.1
ENSG00000278293	31377	IGLV7-43	ENST00000618644.2
ENSG00000281536	31445	AC009286.3	ENST00000630493.1
ENSG00000274575	31515	IGLV1-40	ENST00000610349.2
ENSG00000281471	31583	IGLV5-37	ENST00000628968.1
ENSG00000273737	31665	IGLV1-36	ENST00000618026.2
ENSG00000223648	31749	IGHV3-64	ENST00000454421.2
ENSG00000275777	31817	IGKV3D-7	ENST00000627132.1
ENSG00000241566	31885	IGKV2D-24	ENST00000462693.1
ENSG00000239975	31954	IGKV1D-33	ENST00000390265.2
ENSG00000251546	32023	IGKV1D-39	ENST00000448155.2
ENSG00000211938	32092	IGHV3-7	ENST00000390598.2
ENSG00000211935	32159	IGHV1-3	ENST00000390595.3
ENSG00000211638	32226	IGLV8-61	ENST00000390283.2
ENSG00000211970	32294	IGHV4-61	ENST00000390630.3
ENSG00000211950	32394	IGHV1-24	ENST00000390610.2
ENSG00000211972	32462	IGHV3-66	ENST00000390632.2
ENSG00000211966	32530	IGHV5-51	ENST00000390626.2
ENSG00000225698	32598	IGHV3-72	ENST00000433072.2
ENSG00000211968	32666	IGHV1-58	ENST00000390628.3
ENSG00000211965	32734	IGHV3-49	ENST00000390625.3
ENSG00000211943	32802	IGHV3-15	ENST00000390603.2
ENSG00000211937	32870	IGHV2-5	ENST00000390597.3
ENSG00000281759	32937	AC145029.2	ENST00000626108.1
ENSG00000211961	33023	IGHV1-45	ENST00000390621.3
ENSG00000282639	33091	IGHV3-64D	ENST00000632099.1
ENSG00000211973	33160	IGHV1-69	ENST00000390633.2
ENSG00000211947	33228	IGHV3-21	ENST00000390607.2
ENSG00000211942	33296	IGHV3-13	ENST00000390602.3
ENSG00000211934	33364	IGHV1-2	ENST00000390594.3
ENSG00000239862	33431	IGKV1-37	ENST00000465170.1
ENSG00000243290	33499	IGKV1-12	ENST00000480492.1
ENSG00000232216	33567	IGHV3-43	ENST00000434710.1
ENSG00000211957	33635	IGHV3-35	ENST00000390617.2
ENSG00000211632	33703	IGKV3D-11	ENST00000390277.3
ENSG00000211633	33772	IGKV1D-42	ENST00000390278.3
ENSG00000242580	33841	IGKV1D-43	ENST00000468879.1
ENSG00000239819	33910	IGKV1D-8	ENST00000471857.2
ENSG00000228325	33978	IGKV3D-7	ENST00000443397.5
ENSG00000270505	34046	IGHV1OR15-1	ENST00000604066.1
ENSG00000281345	34117	IGLV2-33	ENST00000629472.1
ENSG00000280866	34185	IGLV3-32	ENST00000627634.1
ENSG00000211651	34253	IGLV1-44	ENST00000390297.3
ENSG00000276566	34321	IGKV1D-13	ENST00000611391.1
ENSG00000241294	34390	IGKV2-24	ENST00000484817.1
ENSG00000211625	34458	IGKV3D-20	ENST00000390270.2
ENSG00000241244	34527	IGKV1D-16	ENST00000492446.1
ENSG00000231292	34596	IGKV1OR2-108	ENST00000453673.3
ENSG00000239951	34746	IGKV3-20	ENST00000492167.1
ENSG00000241351	34814	IGKV3-11	ENST00000483158.1
ENSG00000282776	34882	IGHV1-45	ENST00000631826.1
ENSG00000282344	34950	IGHV2-26	ENST00000632457.1
ENSG00000281962	35018	IGHV3-23	ENST00000632630.1
ENSG00000240671	35103	IGKV1-8	ENST00000495489.1
ENSG00000282627	35170	IGHV3-48	ENST00000632296.1
ENSG00000243466	35238	IGKV1-5	ENST00000496168.1
ENSG00000188403	35305	IGHV1OR15-9	ENST00000338912.5
ENSG00000282453	35376	IGHV2-70	ENST00000632173.1
ENSG00000282653	35444	IGHV3-16	ENST00000631755.1
ENSG00000282213	35512	IGHV1-3	ENST00000632977.1
ENSG00000211658	35579	IGLV3-27	ENST00000390304.2
ENSG00000211656	35647	IGLV2-33	ENST00000390302.3
ENSG00000211657	35715	IGLV3-32	ENST00000390303.3
ENSG00000211659	35783	IGLV3-25	ENST00000390305.2
ENSG00000242766	35851	IGKV1D-17	ENST00000483379.1
ENSG00000239571	35968	IGKV2D-30	ENST00000474213.1
ENSG00000239855	36037	IGKV1-6	ENST00000464162.1
ENSG00000274236	36104	IGHV3-64	ENST00000631710.1
ENSG00000282642	36172	IGHV3-33	ENST00000631807.1
ENSG00000282726	36240	IGHV4-28	ENST00000632719.1
ENSG00000211946	36308	IGHV3-20	ENST00000390606.3
ENSG00000243063	36376	IGKV3-7	ENST00000390247.2
ENSG00000278857	36443	IGKV1D-12	ENST00000377032.5
ENSG00000243264	36512	IGKV2D-29	ENST00000491977.1
ENSG00000244575	36581	IGKV1-27	ENST00000498435.1
ENSG00000241755	36649	IGKV1-9	ENST00000493819.1
ENSG00000270472	36716	IGHV3OR16-9	ENST00000354689.6
